,Data Set 4:Pressure(kPa),Data Set 4:Angle(rad)
140,105.573760986328,4.3333333212124464e-05
141,119.90274810791,4.199999982608609e-05
142,99.892654418945,3.444444352918444e-05
143,84.963989257812,3.2e-05
144,85.910842895508,3.666666609221988e-05
145,108.03556060791,4.355555550636418e-05
146,119.618698120117,4.155555542731935e-05
147,98.472381591797,3.4222221804121e-05
148,84.585250854492,3.222222172506344e-05
149,86.542068481445,3.711111030126119e-05
150,109.582084655762,4.355555550636418e-05
151,118.861213684082,4.133333332279232e-05
152,97.241477966309,3.3999999320143126e-05
153,84.427444458008,3.222222172506344e-05
154,87.29955291748,3.7333332785239066e-05
155,109.550521850586,4.377777770574755e-05
156,118.009048461914,4.1111110838814445e-05
157,97.178352355957,3.377777759507969e-05
158,84.238067626953,3.222222172506344e-05
159,87.362678527832,3.777777775318209e-05
